concept_cn,concept_en,definition,related_concepts,related_chapters,status
"自我","Self","工作定义待由原始对话确认","记忆;叙事主权;十二种自我","book/02-ai-and-self.md","placeholder"
"意识","Consciousness","工作定义待由原始对话确认","系统;AI;自我","book/04-consciousness-and-system.md","placeholder"
"时间","Time","工作定义待由原始对话确认","记忆;剩余生命;剩余财富","book/03-time-memory-and-life.md","placeholder"
"记忆","Memory","工作定义待由原始对话确认","自我;AI外置记忆;时间","book/03-time-memory-and-life.md","placeholder"
"AI 外置记忆","AI External Memory","工作定义待由原始对话确认","记忆;叙事主权;人机共思","book/02-ai-and-self.md;book/05-human-ai-co-thinking.md","placeholder"
"人机共思","Human-AI Co-thinking","工作定义待由原始对话确认","AI Agent;叙事主权","book/05-human-ai-co-thinking.md","placeholder"
"十二种自我","Twelve Selves","定义待补","自我;记忆","book/02-ai-and-self.md","placeholder"
"时间 = 剩余生命 = 剩余财富","Time = Remaining Life = Remaining Wealth","命题线索待补","时间;人生策略","book/03-time-memory-and-life.md","placeholder"
"点火","Ignition","本书内哲学含义待补","系统;意识;人机共思","book/04-consciousness-and-system.md","placeholder"
"叙事主权","Narrative Sovereignty","工作定义待由原始对话确认","自我;AI外置记忆","book/02-ai-and-self.md;book/05-human-ai-co-thinking.md","placeholder"
